epoch,phase,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,val_top3,lr,seconds
1,finetune,2.5882031950938766,0.32915937758954056,0.13243414937189232,2.0488359518033583,0.4425414364640884,0.2009767865391143,0.6500920810313076,0.00029815325108927063,50.9
2,finetune,1.777867283701249,0.5230411564312678,0.29555675466647097,1.6350180085412267,0.5456721915285451,0.3387538286797653,0.7489871086556169,0.00029265847744427303,45.4
3,finetune,1.3922954313268363,0.6174615597090507,0.4234991040307853,1.3653362052875329,0.6197053406998159,0.42872512334446383,0.8182320441988951,0.0002836509786282552,42.8
4,finetune,1.1378938542107349,0.6824187459718258,0.5251283477425612,1.1174310755334507,0.6821362799263352,0.5131058398749497,0.8714548802946593,0.0002713525491562421,42.9
5,finetune,0.9566732227017499,0.7314013442592763,0.6105922499761247,0.9808453458009724,0.7314917127071823,0.6037331308929074,0.8992633517495396,0.0002560660171779821,42.7
6,finetune,0.8231055039571866,0.7708774514317283,0.6708986923172142,0.8812279683011233,0.7510128913443831,0.634240299400313,0.9103130755064457,0.000238167787843871,43.0
7,finetune,0.7224581547286583,0.7991667433937943,0.7090060751825988,0.7713967600799617,0.7955801104972375,0.6918169465747034,0.9265193370165746,0.00021809857496093204,42.7
8,finetune,0.6515759516625035,0.8188012153577019,0.7376854942608438,0.6823359060682644,0.8200736648250461,0.725170536721792,0.9440147329650093,0.00019635254915624216,43.5
9,finetune,0.5891361213083832,0.8364561274284136,0.7641845090699857,0.6778518822092158,0.810865561694291,0.7130816447394234,0.9377532228360957,0.00017346516975603468,42.9
10,finetune,0.5452189755537444,0.8502209741276125,0.7846137820315184,0.6597504445202442,0.8167587476979742,0.7255086838099971,0.9406998158379374,0.00015000000000000001,43.5
11,finetune,0.514414149298873,0.857195470030384,0.7945123137687297,0.5855704272869103,0.8335174953959484,0.7412272579901115,0.9559852670349908,0.0001265348302439654,43.2
12,finetune,0.486079466956479,0.8636405487524169,0.8048685509436161,0.5630620990010257,0.8476979742173112,0.7630618457460352,0.9594843462246777,0.0001036474508437579,44.4
13,finetune,0.46172148162143556,0.8720191510910598,0.8182070002029971,0.5799808876510044,0.8360957642725598,0.7494567612557335,0.9497237569060774,8.190142503906799e-05,42.9
14,finetune,0.4485270531233937,0.8741598379523065,0.8206072704539843,0.5390344853998328,0.8441988950276244,0.7613907518254638,0.9613259668508287,6.183221215612905e-05,43.1
15,finetune,0.43513666679051116,0.8788095018874873,0.8273208632890031,0.5314302671241058,0.8528545119705341,0.7703960365557662,0.9613259668508287,4.393398282201788e-05,43.6
16,finetune,0.42556537582821397,0.8816867691741092,0.8298386411526912,0.5159561382253306,0.8561694290976058,0.777119776815733,0.9624309392265193,2.86474508437579e-05,44.9
17,finetune,0.42092122499065365,0.8815716784826443,0.8342703509530341,0.5068739392480798,0.8587476979742173,0.7863546520243696,0.9651933701657458,1.6349021371744834e-05,43.9
18,finetune,0.4177388810900713,0.8845180001841451,0.8360706238887485,0.5209747489425139,0.8504604051565378,0.7705960041339107,0.9627992633517496,7.341522555726972e-06,43.6
19,finetune,0.41178495144330385,0.8863594512475831,0.837751501395239,0.5000548832982943,0.8607734806629834,0.7859984044261621,0.9670349907918969,1.8467489107293517e-06,43.7
20,finetune,0.40522392992924594,0.8885461743854157,0.841358637884212,0.5155027451216626,0.8559852670349908,0.7762720740249128,0.96353591160221,0.0,43.4
